https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AAVE,Volume BTC
1651122000,2022-04-28 05:00:00,AAVE/BTC,0.00444262,0.00444262,0.00444262,0.00444262,0.00000000,0.0
1651118400,2022-04-28 04:00:00,AAVE/BTC,0.00444262,0.00444262,0.00444262,0.00444262,12.43549674,0.0552461865270588
1651114800,2022-04-28 03:00:00,AAVE/BTC,0.00440798,0.00440798,0.00440798,0.00440798,11.52456774,0.0508000641065652
1651111200,2022-04-28 02:00:00,AAVE/BTC,0.00442801,0.00442801,0.00442801,0.00442801,0.00000000,0.0
1651107600,2022-04-28 01:00:00,AAVE/BTC,0.00442801,0.00442801,0.00442801,0.00442801,0.00000000,0.0
1651104000,2022-04-28 00:00:00,AAVE/BTC,0.00442801,0.00442801,0.00442801,0.00442801,0.00000000,0.0
1651100400,2022-04-27 23:00:00,AAVE/BTC,0.00442801,0.00442801,0.00442801,0.00442801,0.00000000,0.0
1651096800,2022-04-27 22:00:00,AAVE/BTC,0.00442801,0.00442801,0.00442801,0.00442801,0.00000000,0.0
1651093200,2022-04-27 21:00:00,AAVE/BTC,0.00442801,0.00442801,0.00442801,0.00442801,0.00000000,0.0
1651089600,2022-04-27 20:00:00,AAVE/BTC,0.00442801,0.00442801,0.00442801,0.00442801,0.00000000,0.0
1651086000,2022-04-27 19:00:00,AAVE/BTC,0.00442801,0.00442801,0.00442801,0.00442801,0.00000000,0.0
1651082400,2022-04-27 18:00:00,AAVE/BTC,0.00440723,0.00442801,0.00440723,0.00442801,0.18350000,0.000812539835
1651078800,2022-04-27 17:00:00,AAVE/BTC,0.00441649,0.00441649,0.00439999,0.00439999,48.34959322,0.21273772667206783
1651075200,2022-04-27 16:00:00,AAVE/BTC,0.00438814,0.00443090,0.00438814,0.00443090,23.64577201,0.104772051199109
1651071600,2022-04-27 15:00:00,AAVE/BTC,0.00437058,0.00437058,0.00437058,0.00437058,0.00000000,0.0
1651068000,2022-04-27 14:00:00,AAVE/BTC,0.00437058,0.00437058,0.00437058,0.00437058,0.00000000,0.0
1651064400,2022-04-27 13:00:00,AAVE/BTC,0.00437058,0.00437058,0.00437058,0.00437058,6.11572174,0.026729251122409196
1651060800,2022-04-27 12:00:00,AAVE/BTC,0.00440000,0.00440000,0.00440000,0.00440000,0.00000000,0.0
1651057200,2022-04-27 11:00:00,AAVE/BTC,0.00440000,0.00440000,0.00440000,0.00440000,0.00000000,0.0
1651053600,2022-04-27 10:00:00,AAVE/BTC,0.00440000,0.00440000,0.00440000,0.00440000,0.00000000,0.0
1651050000,2022-04-27 09:00:00,AAVE/BTC,0.00440000,0.00440000,0.00440000,0.00440000,0.00000000,0.0
1651046400,2022-04-27 08:00:00,AAVE/BTC,0.00440000,0.00440000,0.00440000,0.00440000,0.00000000,0.0
1651042800,2022-04-27 07:00:00,AAVE/BTC,0.00440000,0.00440000,0.00440000,0.00440000,0.05000000,0.00022000000000000003
1651039200,2022-04-27 06:00:00,AAVE/BTC,0.00426294,0.00426294,0.00426294,0.00426294,0.00000000,0.0
1651035600,2022-04-27 05:00:00,AAVE/BTC,0.00426294,0.00426294,0.00426294,0.00426294,0.00000000,0.0
1651032000,2022-04-27 04:00:00,AAVE/BTC,0.00426294,0.00426294,0.00426294,0.00426294,0.00000000,0.0
1651028400,2022-04-27 03:00:00,AAVE/BTC,0.00426294,0.00426294,0.00426294,0.00426294,0.00000000,0.0
1651024800,2022-04-27 02:00:00,AAVE/BTC,0.00426294,0.00426294,0.00426294,0.00426294,0.04891469,0.00020852038858859998
1651021200,2022-04-27 01:00:00,AAVE/BTC,0.00413523,0.00413523,0.00413523,0.00413523,0.00000000,0.0
1651017600,2022-04-27 00:00:00,AAVE/BTC,0.00413523,0.00413523,0.00413523,0.00413523,0.00000000,0.0
1651014000,2022-04-26 23:00:00,AAVE/BTC,0.00413523,0.00413523,0.00413523,0.00413523,0.00000000,0.0
1651010400,2022-04-26 22:00:00,AAVE/BTC,0.00413523,0.00413523,0.00413523,0.00413523,0.00000000,0.0
1651006800,2022-04-26 21:00:00,AAVE/BTC,0.00413169,0.00413523,0.00413169,0.00413523,17.10188831,0.0707202415961613
1651003200,2022-04-26 20:00:00,AAVE/BTC,0.00413010,0.00413010,0.00409679,0.00409679,24.74117946,0.10135941659993342
1650999600,2022-04-26 19:00:00,AAVE/BTC,0.00416859,0.00416859,0.00414137,0.00414137,12.85533847,0.053238713079503897
1650996000,2022-04-26 18:00:00,AAVE/BTC,0.00435136,0.00435136,0.00435136,0.00435136,0.00000000,0.0
1650992400,2022-04-26 17:00:00,AAVE/BTC,0.00435136,0.00435136,0.00435136,0.00435136,0.00000000,0.0
1650988800,2022-04-26 16:00:00,AAVE/BTC,0.00435344,0.00435344,0.00435136,0.00435136,26.11643382,0.11364200546699521
1650985200,2022-04-26 15:00:00,AAVE/BTC,0.00426798,0.00426798,0.00426798,0.00426798,0.00000000,0.0
1650981600,2022-04-26 14:00:00,AAVE/BTC,0.00426798,0.00426798,0.00426798,0.00426798,0.00000000,0.0
1650978000,2022-04-26 13:00:00,AAVE/BTC,0.00426798,0.00426798,0.00426798,0.00426798,0.00000000,0.0
1650974400,2022-04-26 12:00:00,AAVE/BTC,0.00426798,0.00426798,0.00426798,0.00426798,0.00000000,0.0
1650970800,2022-04-26 11:00:00,AAVE/BTC,0.00426798,0.00426798,0.00426798,0.00426798,0.00000000,0.0
1650967200,2022-04-26 10:00:00,AAVE/BTC,0.00426798,0.00426798,0.00426798,0.00426798,0.00000000,0.0
1650963600,2022-04-26 09:00:00,AAVE/BTC,0.00426798,0.00426798,0.00426798,0.00426798,0.00000000,0.0
1650960000,2022-04-26 08:00:00,AAVE/BTC,0.00426798,0.00426798,0.00426798,0.00426798,0.04801589,0.0002049308582022
1650956400,2022-04-26 07:00:00,AAVE/BTC,0.00417744,0.00417744,0.00417744,0.00417744,0.00000000,0.0
1650952800,2022-04-26 06:00:00,AAVE/BTC,0.00417744,0.00417744,0.00417744,0.00417744,0.00000000,0.0
1650949200,2022-04-26 05:00:00,AAVE/BTC,0.00417744,0.00417744,0.00417744,0.00417744,0.00000000,0.0
1650945600,2022-04-26 04:00:00,AAVE/BTC,0.00417744,0.00417744,0.00417744,0.00417744,0.00000000,0.0
1650942000,2022-04-26 03:00:00,AAVE/BTC,0.00417744,0.00417744,0.00417744,0.00417744,0.00000000,0.0
1650938400,2022-04-26 02:00:00,AAVE/BTC,0.00417744,0.00417744,0.00417744,0.00417744,0.00000000,0.0
1650934800,2022-04-26 01:00:00,AAVE/BTC,0.00417744,0.00417744,0.00417744,0.00417744,0.00000000,0.0
1650931200,2022-04-26 00:00:00,AAVE/BTC,0.00417744,0.00417744,0.00417744,0.00417744,0.00000000,0.0
1650927600,2022-04-25 23:00:00,AAVE/BTC,0.00417744,0.00417744,0.00417744,0.00417744,0.00000000,0.0
1650924000,2022-04-25 22:00:00,AAVE/BTC,0.00417744,0.00417744,0.00417744,0.00417744,0.70008797,0.0029245754893968
1650920400,2022-04-25 21:00:00,AAVE/BTC,0.00421616,0.00421616,0.00421616,0.00421616,0.00000000,0.0
1650916800,2022-04-25 20:00:00,AAVE/BTC,0.00421616,0.00421616,0.00421616,0.00421616,0.04801589,0.00020244267478239998
1650913200,2022-04-25 19:00:00,AAVE/BTC,0.00420410,0.00420410,0.00420410,0.00420410,0.04838814,0.000203428579374
1650909600,2022-04-25 18:00:00,AAVE/BTC,0.00409600,0.00409600,0.00409600,0.00409600,0.00000000,0.0
1650906000,2022-04-25 17:00:00,AAVE/BTC,0.00409600,0.00409600,0.00409600,0.00409600,0.00000000,0.0
1650902400,2022-04-25 16:00:00,AAVE/BTC,0.00409600,0.00409600,0.00409600,0.00409600,0.00000000,0.0
1650898800,2022-04-25 15:00:00,AAVE/BTC,0.00409600,0.00409600,0.00409600,0.00409600,0.00000000,0.0
1650895200,2022-04-25 14:00:00,AAVE/BTC,0.00409600,0.00409600,0.00409600,0.00409600,0.00000000,0.0
1650891600,2022-04-25 13:00:00,AAVE/BTC,0.00409600,0.00409600,0.00409600,0.00409600,0.00000000,0.0
1650888000,2022-04-25 12:00:00,AAVE/BTC,0.00409600,0.00409600,0.00409600,0.00409600,0.00000000,0.0
1650884400,2022-04-25 11:00:00,AAVE/BTC,0.00409600,0.00409600,0.00409600,0.00409600,0.00000000,0.0
1650880800,2022-04-25 10:00:00,AAVE/BTC,0.00409600,0.00409600,0.00409600,0.00409600,0.00000000,0.0
1650877200,2022-04-25 09:00:00,AAVE/BTC,0.00409600,0.00409600,0.00409600,0.00409600,0.00000000,0.0
1650873600,2022-04-25 08:00:00,AAVE/BTC,0.00409600,0.00409600,0.00409600,0.00409600,0.00000000,0.0
1650870000,2022-04-25 07:00:00,AAVE/BTC,0.00409600,0.00409600,0.00409600,0.00409600,0.00000000,0.0
1650866400,2022-04-25 06:00:00,AAVE/BTC,0.00409600,0.00409600,0.00409600,0.00409600,0.00000000,0.0
1650862800,2022-04-25 05:00:00,AAVE/BTC,0.00409600,0.00409600,0.00409600,0.00409600,49.96580830,0.2046599507968
1650859200,2022-04-25 04:00:00,AAVE/BTC,0.00422629,0.00422629,0.00422629,0.00422629,0.00000000,0.0
1650855600,2022-04-25 03:00:00,AAVE/BTC,0.00422629,0.00422629,0.00422629,0.00422629,0.00000000,0.0
1650852000,2022-04-25 02:00:00,AAVE/BTC,0.00422629,0.00422629,0.00422629,0.00422629,0.00000000,0.0
1650848400,2022-04-25 01:00:00,AAVE/BTC,0.00422629,0.00422629,0.00422629,0.00422629,0.00000000,0.0
1650844800,2022-04-25 00:00:00,AAVE/BTC,0.00422629,0.00422629,0.00422629,0.00422629,0.00000000,0.0
1650841200,2022-04-24 23:00:00,AAVE/BTC,0.00422629,0.00422629,0.00422629,0.00422629,0.00000000,0.0
1650837600,2022-04-24 22:00:00,AAVE/BTC,0.00422629,0.00422629,0.00422629,0.00422629,0.00000000,0.0
